region,poverty_2020,Clusters_agg
Белгородская область,7.2,2
Брянская область,13.6,2
Владимирская область,12.5,2
Воронежская область,8.5,0
Ивановская область,13.7,2
Калужская область,9.7,0
Костромская область,12.5,0
Курская область,9.9,0
Липецкая область,8.4,0
Московская область,6.8,4
Орловская область,12.9,2
Рязанская область,12.8,0
Смоленская область,15.6,0
Тамбовская область,10.8,0
Тверская область,11.4,0
Тульская область,10.1,0
Ярославская область,9.9,2
г. Москва,6.0,4
Республика Карелия,15.1,2
Республика Коми,15.3,2
Архангельская область,12.8,2
Вологодская область,12.8,0
Калининградская область,13.5,0
Ленинградская область,8.7,0
Мурманская область,10.1,0
Новгородская область,13.6,2
Псковская область,16.2,0
г. Санкт-Петербург,5.9,4
Ненецкий автономный округ,9.4,2
Республика Адыгея,12.5,3
Республика Калмыкия,22.7,3
Республика Крым,0.0,2
Краснодарский край,10.4,4
Астраханская область,15.6,0
Волгоградская область,11.9,0
Ростовская область,13.0,4
г. Севастополь,0.0,1
Республика Дагестан,14.8,4
Республика Ингушетия,30.0,3
Кабардино-Балкарская Республика,24.2,3
Карачаево-Черкесская Республика,23.2,3
Республика Северная Осетия-Алания,13.9,3
Чеченская Республика,20.4,3
Ставропольский край,13.8,0
Республика Башкортостан,11.6,4
Республика Марий Эл,19.5,2
Республика Мордовия,17.6,2
Республика Татарстан,6.6,4
Удмуртская Республика,11.9,0
Чувашская Республика,16.8,2
Пермский край,13.3,4
Кировская область,14.0,0
Нижегородская область,9.4,4
Оренбургская область,14.0,0
Пензенская область,13.0,2
Самарская область,12.3,4
Саратовская область,14.8,0
Ульяновская область,15.0,2
Курганская область,19.3,2
Свердловская область,9.0,4
Тюменская область,11.6,1
Челябинская область,12.6,4
Ханты-Мансийский АО,8.4,1
Ямало-Hенецкий АО,4.8,1
Республика Алтай,23.8,2
Республика Тыва,31.7,3
Республика Хакасия,18.5,2
Алтайский край,17.5,4
Красноярский край,17.0,4
Иркутская область,17.6,4
Кемеровская область,13.2,4
Новосибирская область,13.8,0
Омская область,13.6,0
Томская область,14.4,0
Республика Бурятия,19.9,0
Республика Саха (Якутия),17.3,2
Забайкальский край,20.9,0
Камчатский край,14.6,2
Приморский край,13.0,0
Хабаровский край,12.0,0
Амурская область,15.2,0
Магаданская область,8.7,1
Сахалинская область,7.7,1
Еврейская автономная область,23.6,3
Чукотский автономный округ,8.0,2
